Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
90, 131072, 1, 2, 512, 1.47098, 1.86851, N/A, 0.303592, 0.615022, 63.7023, 2.24949, 2, 2, 1, 2, 2, 1, 78.3192, 2, 2, 4, 1, 8, 1, 77.9289, 
22, 131072, 1, 1, 512, 0.43105, 0.512839, N/A, 0.0335769, 0.0441676, 12.0514, 0.199414, 2, 4, 2, 4, 1, 1, 49.5418, 2, 2, 8, 1, 16, 1, 77.3137, 
22, 131072, 1, 1, 512, 0.43105, 0.512839, N/A, 0.0335769, 0.0441676, 12.0514, 0.199414, 2, 4, 2, 4, 1, 1, 49.5418, 2, 2, 8, 1, 16, 1, 77.3137, 
22, 131072, 1, 1, 512, 0.43105, 0.512839, N/A, 0.0335769, 0.0441676, 12.0514, 0.199414, 2, 4, 2, 4, 1, 1, 49.5418, 2, 2, 8, 1, 16, 1, 77.3137, 
22, 131072, 1, 1, 512, 0.43105, 0.512839, N/A, 0.0335769, 0.0441676, 12.0514, 0.199414, 2, 4, 2, 4, 1, 1, 49.5418, 2, 2, 8, 1, 16, 1, 77.3137, 
